,author,pronoun,verb,count,total,frequency,rank
293,Clare,I,witnessd,1,548,1.8248175182481752,297.0
294,Clare,I,witnessed,1,548,1.8248175182481752,298.0
297,Clare,I,would climb,1,548,1.8248175182481752,299.0
298,Clare,I,would have plunged,1,548,1.8248175182481752,300.0
300,Clare,I,would not change,1,548,1.8248175182481752,301.0
301,Clare,I,would not flatter,1,548,1.8248175182481752,302.0
302,Clare,I,would not pretend,1,548,1.8248175182481752,303.0
303,Clare,I,would wish,1,548,1.8248175182481752,304.0
304,Clare,I,wrote,1,548,1.8248175182481752,305.0
479,Smith,I,love,5,121,41.32231404958678,1.0
483,Smith,I,mark,5,121,41.32231404958678,2.0
459,Smith,I,find,4,121,33.057851239669425,3.0
495,Smith,I,see,4,121,33.057851239669425,4.0
521,Smith,I,would,4,121,33.057851239669425,5.0
434,Smith,I,am doomed,2,121,16.528925619834713,6.0
451,Smith,I,deplore,2,121,16.528925619834713,7.0
469,Smith,I,hear,2,121,16.528925619834713,8.0
488,Smith,I,mourn,2,121,16.528925619834713,9.0
491,Smith,I,pursue,2,121,16.528925619834713,10.0
494,Smith,I,resign,2,121,16.528925619834713,11.0
497,Smith,I,seem,2,121,16.528925619834713,12.0
514,Smith,I,wander,2,121,16.528925619834713,13.0
516,Smith,I,watch,2,121,16.528925619834713,14.0
519,Smith,I,wish,2,121,16.528925619834713,15.0
432,Smith,I,admire,1,121,8.264462809917356,16.0
433,Smith,I,am,1,121,8.264462809917356,17.0
435,Smith,I,ask,1,121,8.264462809917356,18.0
436,Smith,I,aspire,1,121,8.264462809917356,19.0
437,Smith,I,bade,1,121,8.264462809917356,20.0
438,Smith,I,bear,1,121,8.264462809917356,21.0
439,Smith,I,bless,1,121,8.264462809917356,22.0
440,Smith,I,can bid,1,121,8.264462809917356,23.0
441,Smith,I,can catch,1,121,8.264462809917356,24.0
442,Smith,I,can compose,1,121,8.264462809917356,25.0
443,Smith,I,can copy,1,121,8.264462809917356,26.0
444,Smith,I,carve,1,121,8.264462809917356,27.0
445,Smith,I,come,1,121,8.264462809917356,28.0
446,Smith,I,could be blest,1,121,8.264462809917356,29.0
447,Smith,I,could meet,1,121,8.264462809917356,30.0
448,Smith,I,could taste,1,121,8.264462809917356,31.0
449,Smith,I,delight,1,121,8.264462809917356,32.0
450,Smith,I,depart,1,121,8.264462809917356,33.0
452,Smith,I,discern,1,121,8.264462809917356,34.0
453,Smith,I,drew,1,121,8.264462809917356,35.0
454,Smith,I,drink,1,121,8.264462809917356,36.0
455,Smith,I,enjoy,1,121,8.264462809917356,37.0
456,Smith,I,envy,1,121,8.264462809917356,38.0
457,Smith,I,explore,1,121,8.264462809917356,39.0
458,Smith,I,fear,1,121,8.264462809917356,40.0
460,Smith,I,fly,1,121,8.264462809917356,41.0
461,Smith,I,gaze,1,121,8.264462809917356,42.0
462,Smith,I,go,1,121,8.264462809917356,43.0
463,Smith,I,hail,1,121,8.264462809917356,44.0
464,Smith,I,hailed,1,121,8.264462809917356,45.0
465,Smith,I,haunt,1,121,8.264462809917356,46.0
466,Smith,I,have,1,121,8.264462809917356,47.0
467,Smith,I,have charmed,1,121,8.264462809917356,48.0
468,Smith,I,have sought,1,121,8.264462809917356,49.0
470,Smith,I,hope,1,121,8.264462809917356,50.0
471,Smith,I,hurry,1,121,8.264462809917356,51.0
472,Smith,I,invoke,1,121,8.264462809917356,52.0
473,Smith,I,joy,1,121,8.264462809917356,53.0
474,Smith,I,keep,1,121,8.264462809917356,54.0
475,Smith,I,know,1,121,8.264462809917356,55.0
476,Smith,I,lay,1,121,8.264462809917356,56.0
477,Smith,I,linger,1,121,8.264462809917356,57.0
478,Smith,I,listen,1,121,8.264462809917356,58.0
480,Smith,I,loved,1,121,8.264462809917356,59.0
481,Smith,I,lure,1,121,8.264462809917356,60.0
482,Smith,I,make,1,121,8.264462809917356,61.0
484,Smith,I,may be subdued,1,121,8.264462809917356,62.0
485,Smith,I,may reach,1,121,8.264462809917356,63.0
486,Smith,I,may seek,1,121,8.264462809917356,64.0
487,Smith,I,may suffer,1,121,8.264462809917356,65.0
489,Smith,I,pore,1,121,8.264462809917356,66.0
490,Smith,I,prefer,1,121,8.264462809917356,67.0
492,Smith,I,recline,1,121,8.264462809917356,68.0
493,Smith,I,repine,1,121,8.264462809917356,69.0
496,Smith,I,seek,1,121,8.264462809917356,70.0
498,Smith,I,shall be forgiven,1,121,8.264462809917356,71.0
499,Smith,I,shall be laid,1,121,8.264462809917356,72.0
500,Smith,I,shall behold,1,121,8.264462809917356,73.0
501,Smith,I,shall find,1,121,8.264462809917356,74.0
502,Smith,I,stand,1,121,8.264462809917356,75.0
